tipologia,Fecha,Pas,KmT,Gal
T6,20190501,63638550,335024,29249.65
T6,20190601,53348058,308794,26743.87
T6,20190701,59176714,335360,28487.79
T6,20190801,61039083,328207,28017.268268171
T6,20190901,61048143,321538,26978.92
T6,20191001,63621820,324755,27122.62
T6,20191101,52512404,279316,23364.212
T6,20191201,55364039,312167,25800.78
T6,20200101,51104333,335138,27293.4
T6,20200201,59685854,313233,25873.6
T6,20200301,39428269,270543,21608.79
T6,20200401,8196801,149688,11070.613
T6,20200501,12021455,310904,22428.42
T6,20200601,16043911,302286,22518.22
T6,20200701,17491866,337842,25043.07
T6,20200801,17526525,318608,23631.4
T7,20180101,1115330.02370742,213466,23412.32
T7,20180201,1223422.49023512,204653,23398.8189620375
T7,20180301,1221758.26230575,221465,25171.36
T7,20180401,1245112.32898875,210613,24500.69
T7,20180501,1242492.4148051,223274,26154.4218934911
T7,20180601,1202050.54284859,217338,24545.3440717756
T7,20180701,1255685.86814887,233717,26022.1781881533
T7,20180801,1396068.27800049,231990,26458.5217073171
T7,20180901,1364294.15990227,225699,25535.0159475533
T7,20181001,1396134.66708984,226853,25828.7737611781
T7,20181101,1319020.20685894,220610,25008.314231748
T7,20181201,1299765.77980281,218921,25195.433585913
T7,20190101,1194572,224464,24350.6601917654
T7,20190201,1317221,213859,24353.4668802228
T7,20190301,1422931,231409,26183.6961505063
T7,20190401,1322864,229471,25728.5217203352
T7,20190501,1437051,245468,27727.3087031319
T7,20190601,1175231,235210,26412.8738577562
T7,20190701,1270178,262886,28700.7580052643
T7,20190801,1287061,238612,26283.6992384759
T7,20190901,1193862,227751,25971.1701590201
T7,20191001,1150242,227993,26655.6569771733
T7,20191101,926325,195131,22670.8867139307
T7,20191201,1001675,214759,24862.4346515218
T7,20200101,937239,229616,24855.2280499154
T7,20200201,1066476,223322,25428.2699365482
T7,20200301,754144,215645,22961.1568371064
T7,20200401,296410,171444,16613.2729289461
T7,20200501,409508,235603,23064.1160600858
T7,20200601,487049,219458,22757.4649880782
T7,20200701,519534,238604,24955.1760384835
T7,20200801,434555,244464,24812.169
T8,20180101,829690.60968661,644803,70524.9314935859
T8,20180201,956275.515669516,649469,73548.7369508785
T8,20180301,938700.113960114,659752,74663.8157459046
T8,20180401,989422.205128205,658863,76538.2588428793
T8,20180501,973904.501387501,662766,76577.2152307693
T8,20180601,858704.445887446,640745,73050.9092007573
T8,20180701,888533.991341991,622676,75920.8035412311
T8,20180801,959823.298701299,666210,76071.4920383275
T8,20180901,972009.380952381,669901,76058.1607784588
T8,20181001,1032329.19047619,673481,78896.450644587
T8,20181101,964041.268398269,642816,75096.0850568573
T8,20181201,848603.87012987,620461,71434
T8,20190101,841796,637471,71118.5677602933
T8,20190201,962451,610470,70385.0802116991
T8,20190301,1001998,637605,73719.4751141839
T8,20190401,926352,617804,70605.3030674901
T8,20190501,1042503,657431,75643.6581782091
T8,20190601,890119,600645,68800.5820108995
T8,20190701,1072423,662163,76655.586439906
T8,20190801,1036702,650159,74777.9743989155
T8,20190901,1104972,635052,73515.4446787879
T8,20191001,1061679,635971,73604.8464438778
T8,20191101,927886,559991,64993.840630486
T8,20191201,901598,579437,66455.3686304699
T8,20200101,881854,605347,66302.5069534687
T8,20200201,954247,568301,64824.1526828225
T8,20200301,761551,522354,55487.6181139978
T8,20200401,260744,444938,41604.0353845315
T8,20200501,390165,692402,67079.8025570192
T8,20200601,449279,713516,72585.1383635193
T8,20200701,498576,760745,77329.3557383501
T8,20200801,472104,698856,71325.5739289158
T8,20201001,366437.333736147,607373.398614563,66525.0162776082
T8,20201101,334949.8372,556758.151602853,60981.1776125797
T8,20201201,352092.535090755,576938.934673485,63191.5591099108
