FechaContable,FechaTransaccion,HoraTransaccion,Empresa,Paradero,StrParadero,Linea,StrLinea,Bus,TipoValidacion,RutaSae,StrRutaSae,Cenefa
2020-11-15,2020-11-15,05:01:31,105,44994,170B05_GM|Br. Zarzamora - 170B05,963,SE6_GM,504314,Transbordo,4052,,170B05
2020-11-15,2020-11-15,05:01:38,105,34716,276A12_TZ|276A12_Br. Molinos del Sur,320,C101,502097,Transbordo,3193,,276A12
2020-11-15,2020-11-15,05:01:41,105,33903,097A12_TZ|097A12,154,802,504311,Transbordo,3853,,097A12
2020-11-15,2020-11-15,05:01:41,105,34716,276A12_TZ|276A12_Br. Molinos del Sur,320,C101,502097,Transbordo,3193,,276A12
2020-11-15,2020-11-15,05:01:44,105,33903,097A12_TZ|097A12,154,802,504311,Transbordo,3853,,097A12
2020-11-15,2020-11-15,05:01:47,105,33903,097A12_TZ|097A12,154,802,504311,Transbordo,3853,,097A12
2020-11-15,2020-11-15,05:01:55,105,52691,181B05_TM|181B05_Br. La Estrada,1083,402,507113,Transbordo,4788,,181B05
2020-11-15,2020-11-15,05:01:58,105,52691,181B05_TM|181B05_Br. La Estrada,1083,402,507113,Transbordo,4788,,181B05
2020-11-15,2020-11-15,05:02:01,105,52691,181B05_TM|181B05_Br. La Estrada,1083,402,507113,Transbordo,4788,,181B05
2020-11-15,2020-11-15,05:02:15,105,34716,276A12_TZ|276A12_Br. Molinos del Sur,383,806,502115,Transbordo,3122,,276A12
2020-11-15,2020-11-15,05:02:16,105,52444,111A05_TM|111A05_Unidad Mï¿½ca Emaï¿½s Hospital Engativ,1103,SE10,502018,Transbordo,4885,,111A05
2020-11-15,2020-11-15,05:02:19,105,52444,111A05_TM|111A05_Unidad Mï¿½ca Emaï¿½s Hospital Engativ,1103,SE10,502018,Transbordo,4885,,111A05
2020-11-15,2020-11-15,05:02:22,105,52444,111A05_TM|111A05_Unidad Mï¿½ca Emaï¿½s Hospital Engativ,1103,SE10,502018,Transbordo,4885,,111A05
